ID,cond,granul,veg,mo
MOIR_Up_12_Su,327,0.65,0.5,1.89
MOIR_Up_13_Sp,351,0.49,0,0.04
MOIR_Up_13_Su,378,0.6,0.5,0.04
MOIR_Up_15_Sp,348,0.69,0,1.49
MOIR_Up_15_Su,374,0.44,0,1.49
MOIR_Up_16_Sp,303,0.28,0,1.48
MOIR_Up_16_Su,496,0.67,0,1.48
MOIR_UpN_07_Sp,448,0.23,3.7,0.77
MOIR_UpN_07_Su,425,0.27,3.7,0.77
MOIR_UpN_09_Sp,422,0.2,2.3,0.54
MOIR_UpN_09_Su,408,0.34,4,0.54
MOIR_UpN_11_Sp,416,0.39,0.7,1
MOIR_UpN_11_Su,416,0.55,1.2,1
MOIR_UpN_12_Sp,423,0.46,1.5,1.51
MOIR_UpN_12_Su,437,0.44,2.3,1.51
MOIR_UpN_13_Sp,440,0.48,0.5,1.96
MOIR_UpN_13_Su,420,0.5,1.7,1.96
MOIR_UpN_14_Sp,456,0.37,4.3,2.25
MOIR_UpN_14_Su,409,0.44,5,2.25
MOIR_UpN_15_Sp,468,0.39,5,1.53
MOIR_UpN_15_Su,433,0.41,2,1.53
MOIR_UpN_16_Sp,499,0.43,3,2.25
MOIR_UpN_16_Su,431,0.44,2,2.25
MOIR_Do_03_Su,399,0.2,1.8,4.08
MOIR_Do_04_Sp,355,0.11,1.7,4.08
MOIR_Do_07_Sp,449,0.28,1.5,3.67
MOIR_Do_07_Su,415,0,2.3,3.67
MOIR_Do_09_Sp,433,0.19,0.5,3.71
MOIR_Do_09_Su,386,0.06,3.3,3.71
MOIR_Do_11_Sp,403,0.24,0.2,6.7
MOIR_Do_11_Su,406,0.17,1.2,6.7
MOIR_Do_12_Sp,401,0.17,1.3,9.72
MOIR_Do_12_Su,388,0.3,3.7,9.72
MOIR_Do_13_Sp,405,0.17,0.3,3.6
MOIR_Do_13_Su,410,0.19,3.2,3.6
MOIR_Do_15_Sp,423,0,1,4.31
MOIR_Do_15_Su,404,0.3,2.7,4.31
MOIR_Do_16_Sp,435,0.06,2.8,5.02
MOIR_Do_16_Su,477,0.09,1,5.02
MOLO_Up_04_Su,253,0.06,3,5.5
MOLO_Up_05_Sp,371,0.17,0.2,5.5
MOLO_Up_08_Sp,583,0,0.7,5.3
MOLO_Up_08_Su,306,0,0.2,5.3
MOLO_Up_10_Sp,343,0,0.2,9.12
MOLO_Up_10_Su,432,0,0.7,9.12
MOLO_Up_12_Sp,464,0.21,0,9.23
MOLO_Up_12_Su,382,0.17,1.8,9.23
MOLO_Up_16_Sp,521,0,0,7.74
MOLO_Up_16_Su,483,0,0.7,7.74
MOLO_Do_04_Su,386,0.73,0.2,7.25
MOLO_Do_05_Sp,322,0,1,7.25
MOLO_Do_08_Sp,397,0.17,0.7,4.25
MOLO_Do_08_Su,284,0.24,0.3,4.25
MOLO_Do_10_Sp,435,0.17,4.3,5.03
MOLO_Do_10_Su,303,0.17,2,5.03
MOLO_Do_12_Sp,348,0.28,4.7,7.94
